"","Scleractinian","Gorgonia","Black_coral","Hydroids","Cnidaria (non Scleractinian)","Sponges","Fleshy macroalgae","Crustose algae","Halimeda","Others","CCA"
"40_TUAMAK2_10",29.33,0,0,0,0,2.67,0,4,0,0,0
"40_TUAMAK2_11",52,0,0,0,0,6.66,0,0,0,0,0
"40_TUAMAK2_12",49.33,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_13",14.67,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_14",35.99,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_15",26.66,0,0,0,0,1.33,0,0,0,0,0
"40_TUAMAK2_16",31.99,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_17",43.98,0,0,0,0,1.33,0,0,0,1.33,0
"40_TUAMAK2_18",41.33,0,0,0,0,1.33,0,0,0,0,0
"40_TUAMAK2_19",50.67,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_20",58.66,0,0,0,0,2.67,0,0,0,0,0
"40_TUAMAK2_21",59.99,0,0,0,0,1.33,0,0,0,0,0
"40_TUAMAK2_22",73.34,0,0,0,0,0,0,4,0,0,0
"40_TUAMAK2_23",74.67,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_24",74.66,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_25",41.33,0,0,0,0,0,0,0,0,0,1.33
"40_TUAMAK2_26",19.98,0,0,0,0,4,0,0,0,0,0
"40_TUAMAK2_27",40,0,0,0,0,0,0,6.67,0,0,0
"40_TUAMAK2_28",22.66,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_29",22.67,0,0,0,0,0,0,0,0,0,0
"40_TUAMAK2_30",42.65,0,0,0,0,0,0,1.33,0,0,0
"40_TUARAN1_1",84,0,0,0,0,0,0,0,0,0,0
"40_TUARAN1_2",94.67,0,0,0,0,1.33,0,0,0,1.33,0
"40_TUARAN1_3",33.33,0,0,0,0,0,0,0,0,0,1.33
"40_TUARAN1_4",33.33,0,0,0,0,0,0,0,0,0,2.67
"40_TUARAN1_5",19.99,0,0,0,0,11.99,0,0,0,0,5.33
"40_TUARAN1_6",36,0,0,0,0,0,2.67,0,0,0,2.67
"40_TUARAN1_7",20,0,0,0,0,24,5.33,0,1.33,0,8
"40_TUARAN1_8",54.67,0,0,0,0,10.67,5.33,0,2.67,1.33,6.67
"40_TUARAN1_9",22.66,0,0,0,0,18.67,6.67,0,2.67,0,2.67
"40_TUARAN1_10",29.34,0,0,0,0,12,17.34,0,0,0,8
"40_TUARAN1_11",40,0,0,0,0,10.67,6.67,0,0,0,10.67
"40_TUARAN1_12",41.34,0,0,0,0,4,4,0,1.33,0,1.33
"40_TUARAN1_13",6.66,0,0,0,0,5.33,0,0,0,1.33,4
"40_TUARAN1_14",30.67,0,0,0,0,21.33,2.67,0,0,0,6.67
"40_TUARAN1_15",25.33,0,0,0,0,17.33,2.67,0,0,0,0
"40_TUARAN1_16",34.67,0,0,0,0,9.33,1.33,0,1.33,0,1.33
"40_TUARAN1_17",62.67,0,0,0,0,6.67,0,0,1.33,0,1.33
"40_TUARAN1_18",53.32,0,0,0,0,9.33,9.33,0,2.67,0,4
"40_TUARAN1_19",56,0,0,0,0,4,2.66,0,0,0,1.33
"40_TUARAN1_20",62.66,0,0,0,0,6.66,0,0,0,0,0
"40_TUARAN1_21",42.66,0,0,0,0,9.33,2.67,0,2.67,0,0
"40_TUARAN1_22",46.66,0,0,0,0,13.33,10.67,1.33,0,0,0
"40_TUARAN1_23",57.33,0,0,0,0,18.66,0,0,0,0,4
"40_TUARAN1_24",70.66,0,0,0,0,2.67,0,0,1.33,0,1.33
"40_TUARAN1_25",57.34,0,0,0,0,14.66,0,0,2.67,0,0
"40_TUARAN1_26",26.67,0,0,0,0,4,9.34,0,1.33,0,1.33
"40_TUARAN1_27",74.67,0,0,0,0,6.67,0,0,0,0,0
"40_TUARAN1_28",50.66,0,0,0,0,8,0,0,1.33,0,5.33
"40_TUARAN1_29",17.33,0,0,0,0,16,1.33,0,0,0,4
"40_TUARAN1_30",69.32,0,0,0,0,6.67,0,0,1.33,2.67,0
"40_TUARAN2_1",94.66,0,0,0,0,0,0,0,0,0,0
"40_TUARAN2_2",52,0,0,0,0,4,29.33,0,0,0,2.67
"40_TUARAN2_3",88,0,0,0,0,0,4,0,0,0,0
"40_TUARAN2_4",12,0,0,0,0,0,0,0,0,0,0
"40_TUARAN2_5",18.67,0,0,0,0,0,4,0,0,0,4
"40_TUARAN2_6",34.66,0,0,0,0,0,8,0,0,0,0
"40_TUARAN2_7",54.66,0,0,0,0,0,6.67,0,0,0,4
"40_TUARAN2_8",21.33,0,0,0,0,1.33,8,0,0,0,4
"40_TUARAN2_9",7.99,0,0,0,0,2.67,8,0,0,0,0
"40_TUARAN2_10",66.67,0,0,0,0,0,8,0,0,0,0
"40_TUARAN2_11",69.33,0,0,0,0,9.33,8,0,0,0,2.67
"40_TUARAN2_12",9.34,0,0,0,0,0,12,0,0,0,5.33
"40_TUARAN2_13",6.66,0,0,0,0,1.33,44,0,0,0,4
"40_TUARAN2_14",10.67,0,0,0,0,0,10.67,0,0,0,12
"40_TUARAN2_15",21.33,0,0,0,0,0,36,0,0,0,0
"40_TUARAN2_16",0,0,0,0,0,0,4,0,0,0,0
"40_TUARAN2_17",29.33,0,0,0,0,0,13.33,0,0,0,0
"40_TUARAN2_18",13.33,0,0,0,0,0,1.33,0,0,0,1.33
"40_TUARAN2_19",1.33,0,0,0,0,0,8,0,0,0,0
"40_TUARAN2_20",14.66,0,0,0,0,6.67,20,0,0,1.33,1.33
"40_TUARAN2_21",5.33,0,0,0,0,0,18.67,0,0,0,0
"40_TUARAN2_22",22.66,0,0,0,0,0,20,0,0,0,1.33
"40_TUARAN2_23",5.33,0,0,0,0,0,21.33,0,0,0,1.33
"40_TUARAN2_24",10.66,0,0,0,0,0,28,0,0,0,2.67
"40_TUARAN2_25",21.33,0,0,0,0,0,26.67,0,0,1.33,6.67
"40_TUARAN2_26",29.32,0,0,0,0,4,42.67,0,0,0,6.67
