"","Island_Island_Site","Depth","Quadrat","Cover","Latitude","Longitude","Fixed.substrate","Sediment.substrate","Rubble","ID","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015"
"775","Makatea_1","20",4,25.33,-15.8259,-148.2797,17.34,44,0,"20_TUAMAK1_4",131.607229,58.3574482,28.67509,0.273,27.98182,27.98182,"Uplifted carbonate island","West","Wall","Porites rus and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"776","Makatea_1","20",5,46.67,-15.8259,-148.2797,48,20,17.33,"20_TUAMAK1_5",131.607229,58.3574482,28.67509,0.273,27.98182,27.98182,"Uplifted carbonate island","West","Wall","Porites rus and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"777","Makatea_1","20",6,48,-15.8259,-148.2797,30.67,8,1.33,"20_TUAMAK1_6",131.607229,58.3574482,28.67509,0.273,27.98182,27.98182,"Uplifted carbonate island","West","Wall","Porites rus and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"778","Makatea_1","20",7,82.67,-15.8259,-148.2797,36,9.33,0,"20_TUAMAK1_7",131.607229,58.3574482,28.67509,0.273,27.98182,27.98182,"Uplifted carbonate island","West","Wall","Porites rus and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"779","Makatea_1","20",8,68,-15.8259,-148.2797,42.66,9.33,0,"20_TUAMAK1_8",131.607229,58.3574482,28.67509,0.273,27.98182,27.98182,"Uplifted carbonate island","West","Wall","Porites rus and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"780","Makatea_1","20",9,75.98,-15.8259,-148.2797,46.67,10.67,0,"20_TUAMAK1_9",131.607229,58.3574482,28.67509,0.273,27.98182,27.98182,"Uplifted carbonate island","West","Wall","Porites rus and substrate","Fixed substrate","None",11,1,1.2,2,4.4
"781","Makatea_1","40",1,69.34,-15.8259,-148.2797,22.67,0,0,"40_TUAMAK1_1",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"782","Makatea_1","40",10,34.66,-15.8259,-148.2797,37.33,0,0,"40_TUAMAK1_10",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"783","Makatea_1","40",11,50.67,-15.8259,-148.2797,53.33,0,0,"40_TUAMAK1_11",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"784","Makatea_1","40",12,14.66,-15.8259,-148.2797,30.67,0,0,"40_TUAMAK1_12",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"785","Makatea_1","40",13,28,-15.8259,-148.2797,28,0,0,"40_TUAMAK1_13",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"786","Makatea_1","40",14,62.66,-15.8259,-148.2797,24,0,0,"40_TUAMAK1_14",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"787","Makatea_1","40",15,58.66,-15.8259,-148.2797,9.33,0,0,"40_TUAMAK1_15",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"788","Makatea_1","40",16,81.33,-15.8259,-148.2797,54.67,0,0,"40_TUAMAK1_16",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"789","Makatea_1","40",17,53.33,-15.8259,-148.2797,50.67,0,0,"40_TUAMAK1_17",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"790","Makatea_1","40",18,65.33,-15.8259,-148.2797,30.67,0,0,"40_TUAMAK1_18",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"791","Makatea_1","40",19,57.32,-15.8259,-148.2797,56,0,0,"40_TUAMAK1_19",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"792","Makatea_1","40",2,34.67,-15.8259,-148.2797,29.33,0,0,"40_TUAMAK1_2",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"793","Makatea_1","40",20,56,-15.8259,-148.2797,32,0,0,"40_TUAMAK1_20",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"794","Makatea_1","40",21,37.33,-15.8259,-148.2797,38.67,0,0,"40_TUAMAK1_21",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"795","Makatea_1","40",22,32,-15.8259,-148.2797,5.33,0,0,"40_TUAMAK1_22",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"796","Makatea_1","40",23,48,-15.8259,-148.2797,44,0,0,"40_TUAMAK1_23",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"797","Makatea_1","40",24,43.98,-15.8259,-148.2797,18.67,0,0,"40_TUAMAK1_24",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"798","Makatea_1","40",25,50.67,-15.8259,-148.2797,17.33,0,0,"40_TUAMAK1_25",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"799","Makatea_1","40",26,33.34,-15.8259,-148.2797,29.33,0,0,"40_TUAMAK1_26",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"800","Makatea_1","40",27,54.67,-15.8259,-148.2797,33.33,0,0,"40_TUAMAK1_27",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"801","Makatea_1","40",28,53.34,-15.8259,-148.2797,4,0,0,"40_TUAMAK1_28",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"802","Makatea_1","40",29,25.33,-15.8259,-148.2797,6.67,0,0,"40_TUAMAK1_29",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"803","Makatea_1","40",3,2.67,-15.8259,-148.2797,21.33,0,0,"40_TUAMAK1_3",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"804","Makatea_1","40",30,84,-15.8259,-148.2797,30.67,0,0,"40_TUAMAK1_30",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"805","Makatea_1","40",4,46.66,-15.8259,-148.2797,40,0,0,"40_TUAMAK1_4",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"806","Makatea_1","40",5,35.99,-15.8259,-148.2797,32,0,0,"40_TUAMAK1_5",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"807","Makatea_1","40",6,46.66,-15.8259,-148.2797,22.67,0,0,"40_TUAMAK1_6",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"808","Makatea_1","40",7,56,-15.8259,-148.2797,53.33,0,0,"40_TUAMAK1_7",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
"809","Makatea_1","40",8,44,-15.8259,-148.2797,22.67,0,0,"40_TUAMAK1_8",52.598795,22.6245068,28.66392,0.223,27.98182,27.98182,"Uplifted carbonate island","West","Moderate","Substrate and rubble","Rubble","Sponges",15,1,1.2,2,4.4
