"","Depth","Latitude","Longitude","Fixed substrate","Sediment substrate","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015"
"6_GAMGAM1_15","6","-23.0731","-135.0162","64","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_16","6","-23.0731","-135.0162","92","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_17","6","-23.0731","-135.0162","86.66","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_18","6","-23.0731","-135.0162","70.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_19","6","-23.0731","-135.0162","78.66","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_20","6","-23.0731","-135.0162","96.01","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_21","6","-23.0731","-135.0162","94.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_22","6","-23.0731","-135.0162","76","9.33","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_23","6","-23.0731","-135.0162","76","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_24","6","-23.0731","-135.0162","93.33","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_25","6","-23.0731","-135.0162","78.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_26","6","-23.0731","-135.0162","78.67","0","1.33","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_27","6","-23.0731","-135.0162","54.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_28","6","-23.0731","-135.0162","90.66","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_29","6","-23.0731","-135.0162","78.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"6_GAMGAM1_30","6","-23.0731","-135.0162","94.67","0","0","568.46647","100","26.74182","0.612","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","12","2","3.2","2","11.2"
"20_GAMGAM1_1","20","-23.0731","-135.0162","42.67","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_2","20","-23.0731","-135.0162","48","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_3","20","-23.0731","-135.0162","45.33","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_4","20","-23.0731","-135.0162","41.34","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_5","20","-23.0731","-135.0162","57.33","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
"20_GAMGAM1_6","20","-23.0731","-135.0162","52","0","0","275.28261","48.7479581","26.68263","1.852","25.21497","25.21497","Barrier reef","North-west","Gentle","Dead corals","Fixed substrate","None","20","2","3.2","2","11.2"
