"","Depth","Latitude","Longitude","Fixed substrate","Sediment substrate","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015"
"120_SOCBOR1_21","120","-16.5031","-151.7907","69.33","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_22","120","-16.5031","-151.7907","60","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_23","120","-16.5031","-151.7907","18.67","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_24","120","-16.5031","-151.7907","22.67","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_25","120","-16.5031","-151.7907","61.34","0","14.67","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_26","120","-16.5031","-151.7907","40","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_27","120","-16.5031","-151.7907","36","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_28","120","-16.5031","-151.7907","58.66","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_29","120","-16.5031","-151.7907","54.66","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"120_SOCBOR1_30","120","-16.5031","-151.7907","12","0","0","2.308835","0.6794134","25.72062","3.66","27.94245","27.74685","Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None"," 2","3","3.9","1"," 3.9"
"6_SOCBOR2_1","6","-16.4367","-151.7536","46.67","0","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_2","6","-16.4367","-151.7536","26.67","13.33","8","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_3","6","-16.4367","-151.7536","14.67","33.33","2.67","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_4","6","-16.4367","-151.7536","22.67","17.33","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_5","6","-16.4367","-151.7536","32","0","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_6","6","-16.4367","-151.7536","65.33","0","5.33","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_7","6","-16.4367","-151.7536","24","20","10.67","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_8","6","-16.4367","-151.7536","18.67","46.67","6.67","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_9","6","-16.4367","-151.7536","29.33","1.33","5.33","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_10","6","-16.4367","-151.7536","29.33","9.33","14.67","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_11","6","-16.4367","-151.7536","33.33","0","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_12","6","-16.4367","-151.7536","41.33","9.33","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_13","6","-16.4367","-151.7536","34.67","10.67","16","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_14","6","-16.4367","-151.7536","32","14.67","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_15","6","-16.4367","-151.7536","12","42.67","5.33","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_16","6","-16.4367","-151.7536","13.33","25.33","21.33","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_17","6","-16.4367","-151.7536","9.33","25.33","16","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_18","6","-16.4367","-151.7536","26.67","28","10.67","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_19","6","-16.4367","-151.7536","21.33","18.67","10.67","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_20","6","-16.4367","-151.7536","28","20","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_21","6","-16.4367","-151.7536","36","0","1.33","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_22","6","-16.4367","-151.7536","49.33","9.33","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_23","6","-16.4367","-151.7536","16","25.33","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_24","6","-16.4367","-151.7536","50.67","0","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_25","6","-16.4367","-151.7536","29.33","6.67","9.33","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_26","6","-16.4367","-151.7536","55.99","9.33","6.67","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_27","6","-16.4367","-151.7536","17.33","36","10.67","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_28","6","-16.4367","-151.7536","25.33","37.34","12","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_29","6","-16.4367","-151.7536","49.33","2.67","0","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"6_SOCBOR2_30","6","-16.4367","-151.7536","30.66","9.33","13.33","473.135875","100","27.16295","0.59","27.94988","27.94988","Barrier reef","North","Gentle","Corals and substrate","Fixed substrate","None","11","3","3.9","1"," 3.9"
"20_SOCBOR2_1","20","-16.4367","-151.7536","32","5.33","10.67","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_2","20","-16.4367","-151.7536","29.33","2.67","9.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_3","20","-16.4367","-151.7536","32","0","0","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_4","20","-16.4367","-151.7536","45.33","0","16","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_5","20","-16.4367","-151.7536","44","0","17.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_6","20","-16.4367","-151.7536","40","4","4","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_7","20","-16.4367","-151.7536","8","1.33","76","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_8","20","-16.4367","-151.7536","0","4","65.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_9","20","-16.4367","-151.7536","17.33","9.33","65.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_10","20","-16.4367","-151.7536","21.33","10.67","4","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_11","20","-16.4367","-151.7536","52","8","24","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_12","20","-16.4367","-151.7536","48","6.67","0","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_13","20","-16.4367","-151.7536","13.33","9.33","53.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_14","20","-16.4367","-151.7536","54.67","10.67","17.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_15","20","-16.4367","-151.7536","28","4","12","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_16","20","-16.4367","-151.7536","10.67","9.33","57.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_17","20","-16.4367","-151.7536","16","2.67","62.67","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_18","20","-16.4367","-151.7536","6.67","14.67","33.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_19","20","-16.4367","-151.7536","24","0","21.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_20","20","-16.4367","-151.7536","49.33","2.67","0","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_21","20","-16.4367","-151.7536","37.33","2.67","8","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_22","20","-16.4367","-151.7536","2.67","46.67","49.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_23","20","-16.4367","-151.7536","12","68","4","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_24","20","-16.4367","-151.7536","20","33.33","18.67","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_25","20","-16.4367","-151.7536","54.67","0","4","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_26","20","-16.4367","-151.7536","45.33","0","0","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_27","20","-16.4367","-151.7536","41.33","0","0","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_28","20","-16.4367","-151.7536","36","0","1.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_29","20","-16.4367","-151.7536","29.33","1.33","21.33","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"20_SOCBOR2_30","20","-16.4367","-151.7536","58.67","12","16","242.167711","51.511296","27.24533","0.664","27.94988","27.83808","Barrier reef","North","Moderate","Corals","Fixed substrate","None","20","3","3.9","1"," 3.9"
"40_SOCBOR2_1","40","-16.4367","-151.7536","68","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_2","40","-16.4367","-151.7536","76","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_3","40","-16.4367","-151.7536","70.67","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_4","40","-16.4367","-151.7536","62.66","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_5","40","-16.4367","-151.7536","76","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_6","40","-16.4367","-151.7536","65.33","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_7","40","-16.4367","-151.7536","64","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_8","40","-16.4367","-151.7536","48","1.33","8","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_9","40","-16.4367","-151.7536","26.66","36","14.67","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_10","40","-16.4367","-151.7536","14.67","56","25.33","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_11","40","-16.4367","-151.7536","68","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_12","40","-16.4367","-151.7536","32","17.33","17.33","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_13","40","-16.4367","-151.7536","42.66","2.67","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_14","40","-16.4367","-151.7536","33.33","13.33","5.33","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_15","40","-16.4367","-151.7536","33.33","8","26.67","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_16","40","-16.4367","-151.7536","38.66","0","5.33","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_17","40","-16.4367","-151.7536","33.34","1.33","2.67","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_18","40","-16.4367","-151.7536","46.66","0","20","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_19","40","-16.4367","-151.7536","38.67","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_20","40","-16.4367","-151.7536","4","33.34","28","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_21","40","-16.4367","-151.7536","6.67","2.67","80","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_22","40","-16.4367","-151.7536","81.33","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_23","40","-16.4367","-151.7536","24","5.33","41.33","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_24","40","-16.4367","-151.7536","41.33","17.33","10.67","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_25","40","-16.4367","-151.7536","32","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_26","40","-16.4367","-151.7536","0","18.67","80","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_27","40","-16.4367","-151.7536","20","9.33","29.33","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_28","40","-16.4367","-151.7536","14.67","2.67","69.33","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_29","40","-16.4367","-151.7536","86.66","0","0","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"40_SOCBOR2_30","40","-16.4367","-151.7536","54.67","0","1.33","113.888916","24.0643345","27.19262","0.417","27.94988","27.78218","Barrier reef","North","Moderate","Corals","Fixed substrate","None","22","3","3.9","1"," 3.9"
"60_SOCBOR2_1","60","-16.4367","-151.7536","33.34","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_2","60","-16.4367","-151.7536","38.67","0","13.33","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_3","60","-16.4367","-151.7536","48","0","4","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_4","60","-16.4367","-151.7536","33.33","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_5","60","-16.4367","-151.7536","54.67","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_6","60","-16.4367","-151.7536","36","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_7","60","-16.4367","-151.7536","45.33","0","10.67","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_8","60","-16.4367","-151.7536","30.67","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_9","60","-16.4367","-151.7536","28","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_10","60","-16.4367","-151.7536","42.67","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_11","60","-16.4367","-151.7536","54.67","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_12","60","-16.4367","-151.7536","22.67","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_13","60","-16.4367","-151.7536","49.33","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_14","60","-16.4367","-151.7536","45.33","1.33","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_15","60","-16.4367","-151.7536","32","18.67","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_16","60","-16.4367","-151.7536","2.67","60","37.33","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_17","60","-16.4367","-151.7536","0","76","13.33","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_18","60","-16.4367","-151.7536","0","40","56","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_19","60","-16.4367","-151.7536","45.33","8","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_20","60","-16.4367","-151.7536","53.33","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_21","60","-16.4367","-151.7536","0","0","86.67","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
"60_SOCBOR2_22","60","-16.4367","-151.7536","48","0","0","56.91253","11.9831292","27.18702","0.54","27.94988","27.78218","Barrier reef","North","Moderate","Pavona, Pachy","Fixed substrate","CCA","22","3","3.9","1"," 3.9"
