"","Island_Island_Site","Depth","Quadrat","Cover","Latitude","Longitude","Fixed.substrate","Sediment.substrate","CCA","Rubble","Light_Log","Light_Rel_Ind","Temp_Hoboo","Temp_Variability","SST_Satellite_mean","Temp_Rel_Ind","Geomorphology","Coast_Orientation","Bathymetry_slope","Major_biotic_or_abiotic_features","Dominant.Substrate","Dominant.benthic.non_coral","Generic_richness","Years_Since_Last_bleaching","DHW_Last_Bleaching_year","Bleaching_events_since_2015","Sum_DHWs_since_2015","ID","Depth_num","TotPoints","Inc_points","Non_Inc_points","Per_Cover"
"25","Bora_1",120,4,0,-16.5031,-151.7907,28,0,13.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_4",120,75,0,75,1e-04
"26","Bora_1",120,5,0,-16.5031,-151.7907,70.67,0,9.33,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_5",120,75,0,75,1e-04
"27","Bora_1",120,6,0,-16.5031,-151.7907,49.33,0,16,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_6",120,75,0,75,1e-04
"28","Bora_1",120,7,0,-16.5031,-151.7907,57.33,0,16,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_7",120,75,0,75,1e-04
"29","Bora_1",120,8,0,-16.5031,-151.7907,48,0,14.67,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_8",120,75,0,75,1e-04
"30","Bora_1",120,9,0,-16.5031,-151.7907,36,0,12,0,-0.848949832365673,-0.888798034215143,-0.167841038184597,2.45052004952303,0.411401551564416,0.368216926710668,"Barrier reef","West","Steep","Sediment and turf","Fixed substrate","None",-1.60644747616521,3,3.9,1,-0.500917276089856,"120_SOCBOR1_9",120,75,0,75,1e-04
"31","Bora_1",20,1,53.33,-16.5031,-151.7907,77.33,0,4,10.67,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_1",20,75,40,35,0.5333
"32","Bora_1",20,10,42.67,-16.5031,-151.7907,58.67,0,5.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_10",20,75,32,43,0.4267
"33","Bora_1",20,11,66.65,-16.5031,-151.7907,69.33,0,2.67,18.67,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_11",20,75,50,25,0.6665
"34","Bora_1",20,12,49.33,-16.5031,-151.7907,85.33,0,8,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_12",20,75,37,38,0.4933
"35","Bora_1",20,13,38.67,-16.5031,-151.7907,57.33,0,13.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_13",20,75,29,46,0.3867
"36","Bora_1",20,14,50.65,-16.5031,-151.7907,90.67,0,0,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_14",20,75,38,37,0.5065
"37","Bora_1",20,15,40,-16.5031,-151.7907,64,0,1.33,0,0.295039398263256,0.688409349402429,0.180138400093129,-1.10615342793781,0.411401551564416,0.397490170700506,"Barrier reef","West","Gentle","Corals","Fixed substrate","None",0.62860988197769,3,3.9,1,-0.500917276089856,"20_SOCBOR1_15",20,75,30,45,0.4
